Timestamp,Flux
-1147.86,-57393.23
-1145.57,-57278.38
-1146.7,-57335.2
-1151.2,-57559.95
-1155.92,-57795.81
-1159.29,-57964.25
-1160.79,-58039.43
-1160.18,-58009.06
-1157.31,-57865.37
-1153.21,-57660.64
-1149.39,-57469.64
-1148.18,-57409.23
-1150.27,-57513.71
-1154.16,-57707.98
-1159.14,-57957.21
-1162.0,-58099.99
-1162.63,-58131.61
-1162.03,-58101.57
-1160.46,-58023.05
-1157.89,-57894.36
-1157.05,-57852.65
-1159.33,-57966.61
-1164.01,-58200.62
-1170.12,-58505.91
-1176.11,-58805.6
-1182.07,-59103.7
-1187.15,-59357.61
-1191.0,-59549.85
-1192.75,-59637.63
-1193.28,-59664.01
-1195.27,-59763.64
-1201.06,-60052.99
-1208.06,-60402.78
-1214.29,-60714.55
-1220.63,-61031.55
-1226.01,-61300.48
-1230.0,-61500.02
-1149.14,-57457.01
-1067.51,-53375.42
-986.02,-49301.21
-904.64,-45232.03
-823.41,-41170.38
-741.92,-37095.76
-661.37,-33068.62
-581.14,-29056.95
-501.02,-25050.86
-418.79,-20939.7
-335.25,-16762.62
-251.97,-12598.52
-168.86,-8443.14
-85.75,-4287.55
-2.42,-120.9
-2.43,-121.52
-2.38,-118.77
-2.31,-115.74
-2.33,-116.29
-2.35,-117.7
-2.37,-118.39
-2.31,-115.43
-2.28,-113.84
-2.17,-108.4
-2.15,-107.61
-2.13,-106.58
-2.14,-106.82
-2.03,-101.72
-2.06,-102.93
-2.08,-104.2
-2.08,-104.2
-2.1,-104.75
-2.1,-104.92
-2.05,-102.31
-2.04,-101.89
-2.05,-102.55
-2.19,-109.43
-2.23,-111.6
-2.27,-113.36
-2.27,-113.5
-2.25,-112.4
-2.23,-111.67
-2.24,-111.98
-2.25,-112.33
-2.21,-110.3
-2.15,-107.58
-2.13,-106.54
-2.13,-106.4
-2.12,-106.03
-2.09,-104.68
-2.14,-106.85
-2.09,-104.72
-2.16,-107.95
-2.16,-107.99
-2.14,-106.89
-2.12,-105.99
-2.13,-106.3
-2.09,-104.34
-2.15,-107.4
-2.19,-109.33
-2.28,-114.12
-2.4,-119.77
-2.47,-123.49
-2.48,-124.17
-2.46,-122.8
-2.28,-114.02
-2.1,-104.96
-2.04,-101.89
-1.9,-94.8
-1.97,-98.45
-2.15,-107.44
-2.22,-111.19
-2.21,-110.37
-2.09,-104.37
-1.9,-95.18
-1.7,-85.23
-1.47,-73.48
-1.37,-68.56
-1.46,-72.79
-1.59,-79.34
-1.82,-90.77
-1.96,-98.24
-1.94,-96.93
-1.94,-96.93
-1.74,-86.81
-1.46,-72.93
-1.36,-67.87
-1.45,-72.65
-1.58,-78.82
-1.82,-91.08
-1.93,-96.45
-2.1,-104.96
-2.09,-104.48
-1.87,-93.63
-1.64,-81.95
-1.5,-74.83
-1.5,-74.83
-1.57,-78.27
-1.79,-89.39
-2.02,-100.79
-2.26,-112.91
-2.29,-114.67
-2.19,-109.4
-1.97,-98.45
-1.72,-86.19
-1.69,-84.57
-1.52,-76.06
-1.6,-80.09
-1.82,-91.22
-2.02,-100.93
-2.08,-103.82
-1.93,-96.35
-1.74,-86.95
-1.52,-75.82
-1.37,-68.35
-1.25,-62.74
-1.25,-62.53
-1.35,-67.39
-1.5,-75.07
-1.68,-83.88
-1.69,-84.5
-1.69,-84.5
-1.58,-78.89
-1.36,-67.77
-1.16,-58.05
-1.19,-59.5
-1.37,-68.28
-1.55,-77.72
-1.73,-86.4
-1.65,-82.47
-1.61,-80.51
-1.48,-73.9
-1.29,-64.39
-1.13,-56.71
-0.96,-47.89
-1.0,-49.99
-1.19,-59.53
-1.29,-64.46
-1.44,-71.93
-1.59,-79.58
-1.49,-74.45
-1.38,-69.18
-1.19,-59.74
-1.02,-51.06
-1.1,-54.92
-1.11,-55.57
-1.31,-65.35
-1.49,-74.58
-1.66,-83.23
-1.74,-86.95
-1.61,-80.47
-1.42,-70.93
-1.25,-62.53
-1.22,-61.08
-1.17,-58.43
-1.26,-63.15
-1.38,-68.97
-1.58,-78.92
-1.65,-82.64
-1.58,-78.79
-1.47,-73.59
-1.28,-63.8
-1.17,-58.43
-1.18,-58.91
-1.28,-63.84
-1.52,-76.17
-1.67,-83.54
-1.74,-87.02
-1.62,-80.99
-1.52,-76.0
-1.36,-67.76
-1.17,-58.43
-1.07,-53.27
-1.17,-58.43
-1.36,-67.76
-1.53,-76.58
-1.71,-85.33
-1.63,-81.47
-1.45,-72.35
-1.27,-63.7
-1.03,-51.37
-0.88,-44.0
-0.9,-45.17
-1.15,-57.71
-1.36,-67.77
-1.56,-77.75
-1.68,-83.78
-1.58,-78.99
-1.4,-70.11
-1.22,-60.77
-1.04,-51.96
-0.86,-43.21
-0.94,-46.96
-1.13,-56.5
-1.29,-64.73
-1.42,-71.07
-1.51,-75.72
-1.51,-75.31
-1.26,-62.77
-0.98,-49.2
-0.78,-39.22
-0.74,-37.11
-0.93,-46.48
-1.11,-55.54
-1.29,-64.39
-1.45,-72.55
-1.45,-72.55
-1.38,-68.8
-1.19,-59.26
-1.02,-51.03
-0.96,-48.03
-0.87,-43.38
-0.95,-47.27
-1.08,-54.16
-1.24,-62.15
-1.37,-68.38
-1.29,-64.46
-1.1,-55.09
-0.92,-46.03
-0.74,-37.18
-0.69,-34.64
-0.85,-42.42
-1.01,-50.68
-1.2,-59.91
-1.31,-65.53
-1.24,-62.19
-1.14,-57.09
-0.98,-48.96
-0.84,-42.07
-0.75,-37.6
-0.75,-37.63
-0.92,-46.14
-1.09,-54.61
-1.23,-61.74
-1.39,-69.35
-1.27,-63.74
-1.12,-55.95
-0.95,-47.69
-0.77,-38.46
-0.73,-36.56
-0.88,-43.9
-1.14,-57.23
-1.29,-64.39
-1.4,-70.0
-1.5,-75.14
-1.38,-68.87
-1.21,-60.36
-0.96,-47.76
-0.81,-40.63
-0.75,-37.29
-0.89,-44.49
-0.98,-49.0
-1.07,-53.4
-1.07,-53.4
-0.99,-49.69
-0.85,-42.35
-0.68,-34.12
-0.54,-26.96
-0.43,-21.34
-0.44,-22.1
-0.59,-29.68
-0.74,-36.87
-0.9,-44.76
-0.98,-48.82
-0.89,-44.55
-0.75,-37.36
-0.56,-27.82
-0.47,-23.41
-0.57,-28.71
-0.75,-37.67
-0.94,-47.07
-1.04,-52.1
-1.12,-56.19
-1.12,-56.19
-1.01,-50.3
-0.85,-42.73
-0.71,-35.53
-0.72,-36.08
-0.74,-37.01
-0.93,-46.72
-1.08,-53.85
-1.25,-62.43
-1.25,-62.43
-1.14,-57.12
-0.96,-48.17
-0.78,-38.77
-0.67,-33.74
-0.59,-29.64
-0.59,-29.64
-0.75,-37.53
-0.87,-43.38
-0.97,-48.51
-0.99,-49.48
-0.89,-44.49
-0.7,-34.77
-0.55,-27.65
-0.48,-24.1
-0.58,-28.95
-0.76,-38.11
-0.95,-47.27
-1.08,-53.85
-1.18,-58.91
-1.18,-58.91
-1.18,-58.91
-1.02,-51.03
-0.9,-45.17
-0.91,-45.59
-0.92,-46.14
-1.11,-55.75
-1.24,-62.19
-1.36,-68.11
-1.36,-68.11
-1.27,-63.25
-1.21,-60.46
-1.1,-55.09
-1.06,-52.89
-1.11,-55.51
-1.19,-59.57
-1.19,-59.57
-1.19,-59.57
-1.26,-63.18
-1.22,-60.98
-1.19,-59.43
-1.07,-53.68
-1.03,-51.68
-1.06,-52.82
-1.06,-52.82
-1.13,-56.47
-1.0,-50.1
-1.01,-50.72
-1.02,-51.17
-0.96,-47.86
-0.96,-47.93
-1.05,-52.44
-1.15,-57.4
-1.15,-57.4
-1.08,-54.06
-1.0,-49.79
-0.92,-45.93
-0.91,-45.45
-0.77,-38.39
-0.87,-43.55
-0.8,-39.9
-0.88,-43.83
-0.86,-43.21
-0.88,-43.97
-0.79,-39.59
-0.71,-35.46
-0.62,-30.95
-0.61,-30.36
-0.62,-30.98
-0.7,-34.81
-0.81,-40.28
-0.88,-44.04
-0.92,-45.83
